Coursera User IDs,
ni-001,friendsmoneybytes-002
183110,187649
183309,187667
183323,187678
183605,187715
183885,187718
184074,187724
184141,187747
184409,187811
184436,187915
184438,188027
184773,188211
184779,188231
184788,188252
184802,188360
184852,188366
184948,188511
184965,188846
185032,188878
185170,188896
185357,188903
185419,189042
185437,189071
185444,189434
185620,189472
185669,189603
185745,189897
185822,189942
186422,189989
186483,190149
186496,190251
186567,190298
186696,190882
186776,190919
186834,191041
186906,191067
186907,191121
187341,191393
187343,191605
187350,191608
187374,191761
187428,191836
187718,191943
187736,191953
187747,192222
187811,192300
188059,192616
188313,192713
188366,192763
188451,193416
188483,193441
188511,193505
188694,193554
188840,193668
188860,193774
188878,193950
189011,194004
189071,194014
189255,194155
189419,194255
189434,194359
189502,194370
189565,194371
189648,194459
189700,194742
189752,194829
189989,194832
190028,194847
190223,194983
190276,195666
190420,195764
190607,196031
190740,196089
190854,196185
190919,196260
190962,196338
191012,196349
191162,196382
191264,196447
191393,196499
191605,196531
191871,196559
191922,196828
191953,196849
192168,196911
192667,197095
193036,197096
193134,197381
193276,197658
193678,197767
194018,197830
194388,197893
194403,198126
194459,198787
194638,198831
194732,198898
194779,198920
194886,199175
194983,199831
195013,200101
195159,200102
195571,200554
195906,200576
196027,200816
196077,200917
196260,201173
196338,201177
196746,201488
196828,201489
196890,201532
197671,201558
197686,201605
197850,201689
198126,201692
198143,201809
198247,201851
198307,201853
198602,201872
198614,201899
198677,201963
198787,202033
198920,202071
198923,202143
198926,202188
199175,202214
199350,202339
199470,202523
200057,202575
200551,202607
200554,202670
200709,202716
200816,202750
200886,202895
201246,203052
201489,203800
201558,203848
201689,203861
201851,203862
201872,203942
202192,203976
202214,204177
202232,204327
202233,204581
202462,204595
202654,204655
202659,205043
202750,205182
202852,205498
203067,205544
203069,206034
203136,206134
203269,206324
203444,206578
203566,206589
203678,206660
203942,206728
204059,206862
204195,206864
204469,207029
204693,207033
204710,207093
205137,207224
205498,207321
206134,207344
206155,207427
206236,207698
206365,208334
206398,208581
206513,208711
206752,208824
206829,209004
206864,210230
206965,210317
207033,210332
207040,210361
207093,210743
207344,210781
207417,211093
207852,211147
208050,211196
208185,211395
208209,211493
208299,211768
208505,211806
208707,211857
208840,212309
209751,212620
209906,213115
210022,213222
210526,213319
210924,213454
211241,213527
211618,213569
211857,214014
212092,214129
212201,214341
212224,214472
212392,214508
212489,214853
212620,214881
212834,214925
212894,214952
212992,215038
212994,215299
213115,215419
213133,215452
213432,215459
213454,215649
213670,215817
213797,215821
213806,215862
214129,215902
214132,215995
214256,216197
214354,216233
214512,216332
214526,216392
214611,216546
214693,216591
214811,216712
215038,216725
215445,216793
215452,216991
215549,217090
215618,217587
215627,217607
215649,218193
215849,218503
215991,218524
216291,218566
216488,218641
217013,218651
217451,218836
217475,218891
217696,218901
217771,219178
218658,219360
218901,219415
218917,219625
219161,219756
219238,219999
219359,220052
219360,220126
219478,220362
219706,220389
219756,220496
219946,220514
220065,220556
220155,220588
220362,220694
